Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Search Data Request,10,59435,15154,132091,41814.03,10.000%,.05039,30.62,0.01,622137.7
TOTAL,10,59435,15154,132091,41814.03,10.000%,.05039,30.62,0.01,622137.7
