Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login Request,10000,4019,29,19479,4470.58,0.000%,42.94407,55.44,10.95,1322.0
Get Profile Request,10000,3861,4,18051,4482.18,0.000%,42.96031,46.52,15.23,1108.9
Add Search History Request,10000,6902,14,37829,6156.87,0.000%,43.04371,44.52,24.50,1059.2
Get Search History Request,10000,6262,10,37596,6035.41,0.000%,43.06428,54.82,15.81,1303.5
Logout Request,10000,73,3,1598,91.38,0.000%,43.11832,44.09,15.12,1047.0
TOTAL,50000,4224,3,37829,5350.65,0.000%,214.66967,244.88,81.42,1168.1
