Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Request,10000,4019,1828,10932,12722,15190,29,19479,0.000%,42.94407,55.44,10.95
Get Profile Request,10000,3861,1014,10878,12651,14999,4,18051,0.000%,42.96031,46.52,15.23
Add Search History Request,10000,6902,5357,13967,18541,28358,14,37829,0.000%,43.04371,44.52,24.50
Get Search History Request,10000,6262,4709,12774,17441,28562,10,37596,0.000%,43.06428,54.82,15.81
Logout Request,10000,73,41,174,248,424,3,1598,0.000%,43.11832,44.09,15.12
TOTAL,50000,4224,1391,11477,13658,22260,3,37829,0.000%,214.66967,244.88,81.42
