Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Register Request,1000,15830,116,24498,7535.60,0.000%,34.46731,37.29,10.80,1108.0
Login Request,1000,11724,680,20522,3536.46,0.000%,22.80294,29.44,5.81,1322.0
Get Profile Request,1000,9017,5,20287,4231.84,0.000%,22.62648,24.50,8.02,1108.9
Add Search History Request,1000,8173,33,33565,8024.03,0.000%,13.53381,14.00,7.70,1059.1
Get Search History Request,1000,9249,25,32888,7784.54,0.000%,13.20359,14.08,4.85,1092.2
Logout Request,1000,15,4,318,20.17,0.000%,13.21353,13.51,4.63,1047.0
TOTAL,6000,9001,4,33565,7612.82,0.000%,75.19457,82.45,27.69,1122.9
