Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Register Request,1000,5402,45,16564,3508.26,0.000%,23.96760,25.93,7.51,1108.0
Login Request,1000,5162,36,13837,3013.04,0.000%,21.11531,27.26,5.38,1322.0
Get Profile Request,1000,4171,6,12563,2717.04,0.000%,21.00399,22.75,7.45,1108.9
Add Search History Request,1000,1872,30,16996,2699.10,0.000%,16.74004,17.31,9.53,1059.0
Get Search History Request,1000,2210,24,14420,3018.17,0.000%,16.20982,18.10,5.95,1143.6
Logout Request,1000,11,3,129,9.87,0.000%,16.22192,16.59,5.69,1047.0
TOTAL,6000,3138,3,16996,3358.91,0.000%,96.97440,107.15,35.71,1131.4
