Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Register Request,1000,13532,685,19597,5064.31,0.000%,49.36809,53.42,15.47,1108.0
Login Request,1000,7499,1285,14278,2789.02,0.000%,31.76317,41.01,8.10,1322.0
Get Profile Request,1000,6044,27,12429,2806.35,0.000%,35.39322,38.33,12.55,1108.9
Add Search History Request,1000,1095,15,4065,903.51,0.000%,47.42483,49.05,27.00,1059.0
Get Search History Request,1000,887,9,4394,752.10,0.000%,46.90652,51.07,17.22,1114.9
Logout Request,1000,166,3,1489,221.99,0.000%,46.89552,47.95,16.44,1047.0
TOTAL,6000,4871,3,19597,5451.36,0.000%,166.54638,183.24,61.34,1126.6
