Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Register Request,1000,14849,14925,17209,17828,21272,5519,21355,0.000%,41.09814,44.47,12.88
Login Request,1000,8021,7445,13275,14231,15301,969,16193,0.000%,32.70325,42.22,8.34
Get Profile Request,1000,8077,8340,13593,14094,15227,20,16737,0.000%,43.38960,46.99,15.38
Add Search History Request,1000,883,542,2134,2803,3806,18,4664,0.000%,41.22012,42.63,23.46
Get Search History Request,1000,781,432,1929,2477,3261,12,3994,0.000%,47.01236,51.23,17.26
Logout Request,1000,230,128,629,773,1200,4,1738,0.000%,47.58959,48.66,16.68
TOTAL,6000,5474,2332,14661,16128,17723,4,21355,0.000%,146.57026,161.29,53.98
