Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Register Request,1000,14849,5519,21355,2199.36,0.000%,41.09814,44.47,12.88,1108.0
Login Request,1000,8021,969,16193,3368.52,0.000%,32.70325,42.22,8.34,1322.0
Get Profile Request,1000,8077,20,16737,4280.72,0.000%,43.38960,46.99,15.38,1108.9
Add Search History Request,1000,883,18,4664,885.56,0.000%,41.22012,42.63,23.46,1059.0
Get Search History Request,1000,781,12,3994,792.29,0.000%,47.01236,51.23,17.26,1115.9
Logout Request,1000,230,4,1738,264.64,0.000%,47.58959,48.66,16.68,1047.0
TOTAL,6000,5474,4,21355,5884.23,0.000%,146.57026,161.29,53.98,1126.8
